N_da_SC;Cod_Obra;Cod_insumo;Descricao_do_insumo;Qt_solicitada;Data_da_SC;Data_SC_chegada_a_obra;N_do_PC;Data_aprovacao_da_NT;Data_emissao_do_PC;Previsao_de_entrega;Quant_entregue;Saldo;Data_da_NF;N_da_NF;Data_entrada_na_obra;Data_vencimento;Status_da_NF
SC0002069;32633;C150484;"BRITA; APLICACAO: CONSTRUCAO EM GERAL; TAMANHO: GRADUADA.";130.0;04/01/2024;19/01/2024;PC0000197;05/01/2024;05/01/2024;;13.23;116.77;07/12/2023;487576;;23/01/2024;Aprovado
SC0002069;32633;C150484;"BRITA; APLICACAO: CONSTRUCAO EM GERAL; TAMANHO: GRADUADA.";130.0;04/01/2024;19/01/2024;PC0000197;05/01/2024;05/01/2024;;12.52;117.48;07/12/2023;487560;;23/01/2024;Aprovado
SC0002069;32633;C150484;"BRITA; APLICACAO: CONSTRUCAO EM GERAL; TAMANHO: GRADUADA.";130.0;04/01/2024;19/01/2024;PC0000197;05/01/2024;05/01/2024;;12.62;117.38;14/12/2023;488127;;23/01/2024;Aprovado
SC0002069;32633;C150484;"BRITA; APLICACAO: CONSTRUCAO EM GERAL; TAMANHO: GRADUADA.";130.0;04/01/2024;19/01/2024;PC0000197;05/01/2024;05/01/2024;;12.76;117.24;12/12/2023;487903;;23/01/2024;Aprovado
SC0002075;32633;C1264196;"CHAVE CATRACA; SEXTAVADA; MATERIAL: ACO CROMO-VANADIO; TRATAMENTO SUPERFICIAL: FOSFATIZADO; ISOLACAO: SEM ISOLACAO; TAMANHO: 7/8 ""; COMPRIMENTO: 250 MM.";1.0;04/01/2024;19/01/2024;PC0000198;05/01/2024;05/01/2024;;1.0;0.0;08/12/2023;290579;;23/01/2024;Aprovado - NF excluida no IFS
SC0002079;32633;C1198255;"PLUGUE ENERGIA INDUSTRIAL; MATERIAL: PLASTICO; CONEXAO: FEMEA; CLASSIFICACAO: IP-44; FREQUENCIA: 50/60 HZ; PADRAO: IEC 60309-2; NUMERO DE POLOS: 2 POLOS + TERRA; TENSAO NOMINAL: 220/240 V; CORRENTE NOMINAL: 16 A; REQUISITOS ADICIONAIS: PLUGUE MONOFASICO; FAB: WENZHOU AOJI ELECTRIC - REF: AJ-012.";20.0;04/01/2024;19/01/2024;PC0000215;08/01/2024;08/01/2024;;20.0;0.0;15/12/2023;273696;;23/01/2024;Aprovado
SC0002079;32633;C355512;"LAMPADA HALOGENA; REFLETOR DICROICO; ACABAMENTO: CLARA; BASE: GU5.3; TENSAO: 220 V; POTENCIA: 50 W.";2.0;04/01/2024;19/01/2024;PC0000215;08/01/2024;08/01/2024;;2.0;0.0;15/12/2023;273696;;23/01/2024;Aprovado
SC0002079;32633;C1003182;"CABO ISOLADO; MATERIAL: COBRE; REVESTIMENTO: SEM REVESTIMENTO; TEMPERA: MOLE; ENCORDOAMENTO: CLASSE 5; ISOLACAO: COMPOSTO TERMOPL POLIOLEFINICO N HALOGEN; COR: AZUL CLARO; TENSAO DE ISOLACAO: 450/750 V; TEMPERATURA: 70 GRAUS CELSIUS; PADRAO; SECAO NOMINAL: 6,00 MM2; REQUISITOS ADICIONAIS: DIAMETRO NOMINAL CONDUTOR: 3,00 MM.";300.0;04/01/2024;19/01/2024;PC0000215;08/01/2024;08/01/2024;;300.0;0.0;15/12/2023;273696;;23/01/2024;Aprovado
SC0002079;32633;C1076232;"PLUGUE ENERGIA PREDIAL; CORPO TRIANGULAR; CONEXAO: MACHO; COR: BRANCO; TENSAO MAXIMA: 250 V; CORRENTE MAXIMA: 10 A; NUMERO DE POLOS: 2 POLOS + TERRA; CONTATOS: CILINDRICOS.";20.0;04/01/2024;19/01/2024;PC0000215;08/01/2024;08/01/2024;;20.0;0.0;15/12/2023;273696;;23/01/2024;Aprovado
SC0002085;32633;C956316;"VALVULA ESFERA; NUMERO DE VIAS: 2 VIAS; CONSTRUCAO: MONOBLOCO; MATERIAL DO CORPO: LATAO; REVESTIMENTO DO CORPO: CROMADO; EXTREMIDADE: ROSCA; TIPO DE EXTREMIDADE: BSP; PADRAO DA EXTREMIDADE: ISO 7-1; PASSAGEM: PLENA; ESFERA: LATAO; REVESTIMENTO DA ESFERA: CROMADA; HASTE: LATAO; SEDE: PTFE; ACIONAMENTO: ALAVANCA; CLASSE DE PRESSAO: PN 25; DIAMETRO NOMINAL: 3"" (DN 80).";6.0;04/01/2024;19/01/2024;PC0000199;05/01/2024;05/01/2024;;6.0;0.0;15/12/2023;124037;;23/01/2024;Aprovado
SC0002087;32633;C460138;"VASSOURA; MATERIAL: PIACAVA; CABO: MONTADO LONGO 1,50 M; DIMENSOES: 400 MM; REQUISITOS ADICIONAIS: TIPO GARI.";10.0;04/01/2024;19/01/2024;PC0000200;05/01/2024;05/01/2024;;10.0;0.0;06/12/2023;45088;;23/01/2024;Aprovado
SC0002088;32633;C281727;"SOLVENTE TINTA; APLICACAO: TINTA; THINNER; FORNECIMENTO: GALAO 5 LITROS; FAB: TEMPO - REF: THINNER 1101.";8.0;04/01/2024;19/01/2024;PC0000201;05/01/2024;05/01/2024;;8.0;0.0;30/11/2023;102360;;23/01/2024;Aprovado
SC0002089;32633;C1011423;"BLOCO CONCRETO; VEDACAO; RESISTENCIA: 2,0 A 4,0 MPA; DIMENSOES: 14 X 19 X 34 CM; REQUISITOS ADICIONAIS: SECCIONAL.";400.0;04/01/2024;19/01/2024;PC0000202;05/01/2024;05/01/2024;;400.0;0.0;04/12/2023;10530;;23/01/2024;Aprovado
SC0002090;32633;C1111229;"APRESENTADOR MULTMIDIA; SEM FIO; PONTEIRO: LASER VERMELHO; CONTROLE: 5 BOTOES; ALCANCE: 9,15 M; FREQUENCIA: 2,4 GHZ; INDICADOR: NIVEL ENERGIA; COR: PRETO; DIMENSOES: 40 X 25 X 107 MM; PESO: 40 G; REQUISITOS ADICIONAIS: DE SLIDE; FAB: TARGUS - REF: AMP16US.";1.0;04/01/2024;19/01/2024;PC0000194;05/01/2024;05/01/2024;;1.0;0.0;11/12/2023;574;;23/01/2024;Aprovado
SC0002090;32633;C985981;"LIVRO FISCAL; PROTOCOLO; FORMATO: 1/4; NUMERO DE FOLHAS: 100 FOLHAS.";2.0;04/01/2024;19/01/2024;PC0000194;05/01/2024;05/01/2024;;2.0;0.0;11/12/2023;574;;23/01/2024;Aprovado
SC0002090;32633;C439865;"PRENDEDOR CRACHA; JACARE; MATERIAL: METALICO; ALCA: SEM ALCA.";500.0;04/01/2024;19/01/2024;PC0000194;05/01/2024;05/01/2024;;500.0;0.0;11/12/2023;574;;23/01/2024;Aprovado
SC0001819;32048;C1245367;"REJUNTE; PORCELANATO; COR: MARFIM; FORNECIMENTO: PACOTE 5 KG; FAB: PORTOKOLL - REF: P-FLEX.";15.0;14/12/2023;29/12/2023;PC0000153;15/12/2023;24/01/2024;;15.0;0.0;14/11/2023;1896706;;11/04/2024;Aprovado - NF excluida no IFS
SC0002090;32633;C1446208;"MICROFONE; SEM FIO/UHF; ACABAMENTO: PRETO; FREQUENCIA DE RESPOSTA: 50 HZ A 15 KHZ; ACESSORIOS: RECEPTOR/FONTE CHAV/BATERIA 9V/MANUAL/CASE TRANSP; FAB: KARSECT - REF: KRU 301.";1.0;04/01/2024;19/01/2024;PC0000194;05/01/2024;05/01/2024;;1.0;0.0;11/12/2023;574;;23/01/2024;Aprovado
SC0001915;32633;C174835;"ALCOOL ETILICO HIDRATADO; APRESENTACAO: LIQUIDO; GRADUACAO: 92,8 GRAUS; PERFUME: SEM PERFUME; FORNECIMENTO: FRASCO 1000 ML.";24.0;18/12/2023;02/01/2024;PC0000163;18/12/2023;05/01/2024;;24.0;0.0;20/12/2023;626;;;NF devolvida
SC0001915;32633;C136970;"DESODORIZADOR AMBIENTE; APRESENTACAO: SPRAY; APARELHO: SEM APARELHO; AROMA: LAVANDA; FORNECIMENTO: LATA 400 ML; REQUISITOS ADICIONAIS: PURIFICADOR AR AROMATIZANTE.";12.0;18/12/2023;02/01/2024;PC0000163;18/12/2023;05/01/2024;;12.0;0.0;20/12/2023;626;;;NF devolvida
SC0001915;32633;C171903;"DESINFETANTE; AROMA: PINHO; EMBALAGEM: FRASCO 500 ML; FAB: COLGATE PALMOLIVE - REF: PINHO SOL.";15.0;18/12/2023;02/01/2024;PC0000163;18/12/2023;05/01/2024;;7.0;8.0;20/12/2023;626;;;NF devolvida
SC0001915;32633;C138982;"PAPEL HIGIENICO; FOLHA: DUPLA; COR: BRANCO; PERFUME: NEUTRO; DIMENSOES: 0,10 X 30 M; FORNECIMENTO: PACOTE 4 ROLOS.";48.0;18/12/2023;02/01/2024;PC0000163;18/12/2023;05/01/2024;;12.0;36.0;20/12/2023;626;;;NF devolvida
SC0001915;32633;C142211;"PAPEL HIGIENICO; FOLHA: SIMPLES; COR: BRANCO; PERFUME: NEUTRO; DIMENSOES: 0,10 X 40 M; FORNECIMENTO: PACOTE 4 ROLOS.";192.0;18/12/2023;02/01/2024;PC0000163;18/12/2023;05/01/2024;;48.0;144.0;20/12/2023;626;;;NF devolvida
SC0001833;32633;C271229;"BOTINA SEGURANCA; ELETRICISTA; MATERIAL: VAQUETA RELAX AO CROMO; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: POLIURETANO BIDENSIDADE; PALMILHA: COMPOSITE; BIQUEIRA: BIQUEIRA DE COMPOSITE; FECHAMENTO: ELASTICO LATERAL; ACOLCHOAMENTO: DORSO; TALONEIRA: PRETA; CONSTRUCAO: STANDARD; TAMANHO: 42; REQUISITOS ADICIONAIS: CA 18056; PALMILHA: ANTIPERFURANTE.";5.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;5.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
